Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1953397282,MNQH6,01/20/2026 21:34:48 +08:00,01/20/2026 21:36:09 +08:00,25220.75,25219.25,0.74,3,1,Short,01/20/2026 00:00:00 -06:00,01:20.8,
1953446261,MNQH6,01/20/2026 21:39:35 +08:00,01/20/2026 21:43:28 +08:00,25211,25210,0.74,2,1,Short,01/20/2026 00:00:00 -06:00,03:53.1,
1953480048,MNQH6,01/20/2026 21:44:50 +08:00,01/20/2026 21:48:44 +08:00,25225.75,25227.25,0.74,3,1,Long,01/20/2026 00:00:00 -06:00,03:53.7,
1953489916,MNQH6,01/20/2026 21:48:59 +08:00,01/20/2026 21:50:16 +08:00,25229.75,25225.75,0.74,8,1,Short,01/20/2026 00:00:00 -06:00,01:17.4,
1953506007,MNQH6,01/20/2026 21:50:27 +08:00,01/20/2026 21:52:53 +08:00,25218.25,25217.5,0.74,1.5,1,Short,01/20/2026 00:00:00 -06:00,02:25.6,
1953840000,MNQH6,01/20/2026 22:30:22 +08:00,01/20/2026 22:31:13 +08:00,25306.75,25274.25,0.74,-65,1,Long,01/20/2026 00:00:00 -06:00,00:51.7,
1953943837,MNQH6,01/20/2026 22:33:39 +08:00,01/20/2026 22:34:03 +08:00,25291.75,25322.5,0.74,61.5,1,Long,01/20/2026 00:00:00 -06:00,00:23.5,
1954519260,MNQH6,01/20/2026 22:45:02 +08:00,01/20/2026 22:51:31 +08:00,25328.75,25356,0.74,54.5,1,Long,01/20/2026 00:00:00 -06:00,06:29.3,
1954916025,MNQH6,01/20/2026 23:03:23 +08:00,01/20/2026 23:08:19 +08:00,25279.5,25280.75,0.74,2.5,1,Long,01/20/2026 00:00:00 -06:00,04:56.2,
1955003627,MNQH6,01/20/2026 23:08:45 +08:00,01/20/2026 23:12:35 +08:00,25278.25,25299.5,0.74,42.5,1,Long,01/20/2026 00:00:00 -06:00,03:49.3,
1955740790,MNQH6,01/20/2026 23:24:26 +08:00,01/20/2026 23:51:25 +08:00,25335,25323.25,0.74,-23.5,1,Long,01/20/2026 00:00:00 -06:00,26:59.7,
1955741406,MNQH6,01/20/2026 23:40:49 +08:00,01/20/2026 23:51:26 +08:00,25391.25,25321.75,0.74,-139,1,Long,01/20/2026 00:00:00 -06:00,10:36.6,
1956032665,MNQH6,01/20/2026 23:54:49 +08:00,01/21/2026 00:10:25 +08:00,25333,25405.75,0.74,145.5,1,Long,01/20/2026 00:00:00 -06:00,15:36.1,
1955903437,MNQH6,01/20/2026 23:54:49 +08:00,01/21/2026 00:01:18 +08:00,25333,25395.75,0.74,125.5,1,Long,01/20/2026 00:00:00 -06:00,06:28.2,
1961856361,MNQH6,01/21/2026 21:31:12 +08:00,01/21/2026 21:36:29 +08:00,25065.5,25054.25,0.74,22.5,1,Short,01/21/2026 00:00:00 -06:00,05:17.6,
1961938564,MNQH6,01/21/2026 21:42:52 +08:00,01/21/2026 21:49:08 +08:00,25049.5,25059.5,0.74,20,1,Long,01/21/2026 00:00:00 -06:00,06:15.8,
1962034340,MNQH6,01/21/2026 21:56:46 +08:00,01/21/2026 21:59:14 +08:00,25113.25,25093.25,0.74,40,1,Short,01/21/2026 00:00:00 -06:00,02:28.2,
1963153010,MNQH6,01/21/2026 22:47:25 +08:00,01/21/2026 22:52:10 +08:00,25219.25,25269.25,0.74,-100,1,Short,01/21/2026 00:00:00 -06:00,04:45.0,
1963723203,MNQH6,01/21/2026 22:53:29 +08:00,01/21/2026 23:18:20 +08:00,25286.25,25342.75,0.74,113,1,Long,01/21/2026 00:00:00 -06:00,24:50.1,
1963783175,MNQH6,01/21/2026 23:18:28 +08:00,01/21/2026 23:21:02 +08:00,25349.25,25322.5,0.74,-53.5,1,Long,01/21/2026 00:00:00 -06:00,02:33.9,
1963849020,MNQH6,01/21/2026 23:22:17 +08:00,01/21/2026 23:23:57 +08:00,25318.75,25361,0.74,84.5,1,Long,01/21/2026 00:00:00 -06:00,01:40.4,
1970474373,MNQH6,01/22/2026 21:59:59 +08:00,01/22/2026 22:02:13 +08:00,25735.75,25717.25,0.74,-37,1,Long,01/22/2026 00:00:00 -06:00,02:13.9,
1970508111,MNQH6,01/22/2026 22:02:37 +08:00,01/22/2026 22:06:38 +08:00,25715.75,25705.75,0.74,20,1,Short,01/22/2026 00:00:00 -06:00,04:01.1,
1970541151,MNQH6,01/22/2026 22:12:18 +08:00,01/22/2026 22:12:36 +08:00,25712.75,25719.25,0.74,13,1,Long,01/22/2026 00:00:00 -06:00,00:18.4,
1970573004,MNQH6,01/22/2026 22:13:14 +08:00,01/22/2026 22:17:48 +08:00,25718.5,25722.5,0.74,8,1,Long,01/22/2026 00:00:00 -06:00,04:33.8,
1971582208,MNQH6,01/22/2026 22:43:36 +08:00,01/22/2026 22:52:35 +08:00,25620.75,25620.75,0.74,0,1,Short,01/22/2026 00:00:00 -06:00,08:59.0,
1971831783,MNQH6,01/22/2026 22:53:25 +08:00,01/22/2026 23:01:27 +08:00,25612.5,25547.75,0.74,129.5,1,Short,01/22/2026 00:00:00 -06:00,08:02.1,
1972308222,MNQH6,01/22/2026 23:14:03 +08:00,01/22/2026 23:23:15 +08:00,25576,25608.25,0.74,64.5,1,Long,01/22/2026 00:00:00 -06:00,09:11.5,
1972362824,MNQH6,01/22/2026 23:23:21 +08:00,01/22/2026 23:25:01 +08:00,25603.75,25548,0.74,-111.5,1,Long,01/22/2026 00:00:00 -06:00,01:39.9,
1972734489,MNQH6,01/22/2026 23:26:36 +08:00,01/22/2026 23:43:34 +08:00,25576.25,25643.25,0.74,134,1,Long,01/22/2026 00:00:00 -06:00,16:57.5,
1979906743,MNQH6,01/23/2026 22:46:56 +08:00,01/23/2026 22:51:34 +08:00,25599.75,25619.5,0.74,-39.5,1,Short,01/23/2026 00:00:00 -06:00,04:37.9,
1980014890,MNQH6,01/23/2026 22:53:12 +08:00,01/23/2026 22:56:12 +08:00,25616.5,25646.25,0.74,-59.5,1,Short,01/23/2026 00:00:00 -06:00,03:00.6,
1980140676,MNQH6,01/23/2026 22:58:10 +08:00,01/23/2026 23:00:11 +08:00,25653.5,25671,0.74,-35,1,Short,01/23/2026 00:00:00 -06:00,02:00.9,
1980482089,MNQH6,01/23/2026 23:00:16 +08:00,01/23/2026 23:14:13 +08:00,25679.75,25680.75,0.74,2,1,Long,01/23/2026 00:00:00 -06:00,13:56.6,
1981118629,MNQH6,01/23/2026 23:07:44 +08:00,01/23/2026 23:42:30 +08:00,25693.5,25783.75,0.74,180.5,1,Long,01/23/2026 00:00:00 -06:00,34:46.2,